   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    142/1    0.005    0.000  200.359  200.359 {built-in method builtins.exec}
        1    0.013    0.013  200.359  200.359 train_small.py:1(<module>)
        1    0.009    0.009  197.934  197.934 train_small.py:9(train)
       40    0.002    0.000  197.888    4.947 cnn.py:62(oracle)
       40    4.360    0.109  112.091    2.802 layers.py:97(backward)
      240    0.002    0.000   83.189    0.347 layers.py:42(__call__)
       40    1.221    0.031   82.395    2.060 layers.py:63(forward)
   865280   31.064    0.000   73.027    0.000 layers.py:86(<lambda>)
  4813320    8.145    0.000   65.407    0.000 {method 'sum' of 'numpy.ndarray' objects}
  4813360    6.386    0.000   57.263    0.000 _methods.py:31(_sum)
  4827041   51.454    0.000   51.454    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   865280   29.298    0.000   47.676    0.000 layers.py:121(<lambda>)
  1352000   15.380    0.000   40.363    0.000 layers.py:134(<lambda>)
    81120    0.352    0.000   25.343    0.000 shape_base.py:486(split)
    81120    6.596    0.000   24.890    0.000 shape_base.py:431(array_split)
  5448720   10.761    0.000   19.992    0.000 fromnumeric.py:50(_wrapfunc)
  3163680    4.355    0.000   15.498    0.000 fromnumeric.py:483(swapaxes)
  2271360    3.451    0.000   12.003    0.000 fromnumeric.py:529(transpose)
  3082560    4.294    0.000    8.308    0.000 fromnumeric.py:1190(squeeze)
  3082560    4.014    0.000    4.014    0.000 {method 'squeeze' of 'numpy.ndarray' objects}
  5450887    3.682    0.000    3.682    0.000 {built-in method builtins.getattr}
  3163680    2.981    0.000    2.981    0.000 {method 'swapaxes' of 'numpy.ndarray' objects}
       40    0.668    0.017    2.400    0.060 layers.py:246(backward)
  2271369    2.316    0.000    2.316    0.000 {method 'transpose' of 'numpy.ndarray' objects}
   198203    2.252    0.000    2.252    0.000 {built-in method numpy.core.multiarray.array}
        1    0.990    0.990    2.176    2.176 dataset.py:34(get_cifar10_data)
  3112372    1.951    0.000    1.951    0.000 {method 'append' of 'list' objects}
        1    0.003    0.003    0.938    0.938 dataset.py:18(load_cifar10)
        6    0.000    0.000    0.824    0.137 dataset.py:7(load_cifar_batch)
       40    0.072    0.002    0.658    0.016 layers.py:218(forward)
      166    0.627    0.004    0.627    0.004 {method 'astype' of 'numpy.ndarray' objects}
     6760    0.531    0.000    0.531    0.000 {built-in method numpy.core.multiarray.unravel_index}
    13520    0.026    0.000    0.504    0.000 {method 'max' of 'numpy.ndarray' objects}
    13560    0.019    0.000    0.479    0.000 _methods.py:25(_amax)
    20406    0.440    0.000    0.440    0.000 {method 'reshape' of 'numpy.ndarray' objects}
     1080    0.030    0.000    0.356    0.000 shape_base.py:291(stack)
     1082    0.327    0.000    0.327    0.000 {built-in method numpy.core.multiarray.concatenate}
        6    0.001    0.000    0.260    0.043 __init__.py:1(<module>)
    81120    0.257    0.000    0.257    0.000 {method 'cumsum' of 'numpy.ndarray' objects}
      193    0.251    0.001    0.251    0.001 {method 'copy' of 'numpy.ndarray' objects}
      160    0.005    0.000    0.218    0.001 arraypad.py:1094(pad)
     6760    0.015    0.000    0.207    0.000 fromnumeric.py:943(argmax)
    172/6    0.002    0.000    0.199    0.033 <frozen importlib._bootstrap>:966(_find_and_load)
    172/6    0.001    0.000    0.198    0.033 <frozen importlib._bootstrap>:936(_find_and_load_unlocked)
    159/7    0.002    0.000    0.197    0.028 <frozen importlib._bootstrap>:651(_load_unlocked)
    132/7    0.001    0.000    0.196    0.028 <frozen importlib._bootstrap_external>:672(exec_module)
    233/7    0.000    0.000    0.196    0.028 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
        6    0.191    0.032    0.191    0.032 {built-in method _pickle.load}
        1    0.000    0.000    0.191    0.191 __init__.py:106(<module>)
   802/36    0.003    0.000    0.186    0.005 <frozen importlib._bootstrap>:997(_handle_fromlist)
    324/8    0.001    0.000    0.185    0.023 {built-in method builtins.__import__}
171464/171432    0.181    0.000    0.181    0.000 {built-in method builtins.len}
     6760    0.094    0.000    0.177    0.000 shape_base.py:844(tile)
     6800    0.170    0.000    0.170    0.000 {method 'argmax' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.129    0.129 add_newdocs.py:10(<module>)
       80    0.124    0.002    0.124    0.002 layers.py:197(backward)
       81    0.001    0.000    0.122    0.002 fromnumeric.py:2854(mean)
       81    0.001    0.000    0.121    0.001 _methods.py:53(_mean)
    20280    0.118    0.000    0.118    0.000 {method 'ravel' of 'numpy.ndarray' objects}
     6760    0.012    0.000    0.116    0.000 fromnumeric.py:382(repeat)
    13520    0.106    0.000    0.106    0.000 {method 'repeat' of 'numpy.ndarray' objects}
      240    0.102    0.000    0.102    0.000 {method 'dot' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.102    0.102 type_check.py:3(<module>)
       80    0.101    0.001    0.101    0.001 layers.py:193(forward)
     1080    0.023    0.000    0.080    0.000 shape_base.py:347(<listcomp>)
    81165    0.072    0.000    0.072    0.000 {built-in method builtins.divmod}
       80    0.001    0.000    0.071    0.001 layers.py:174(backward)
    28161    0.035    0.000    0.057    0.000 numeric.py:495(asanyarray)
  159/156    0.001    0.000    0.053    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
        1    0.000    0.000    0.052    0.052 __init__.py:7(<module>)
    23/21    0.000    0.000    0.044    0.002 <frozen importlib._bootstrap_external>:919(create_module)
    23/21    0.038    0.002    0.043    0.002 {built-in method _imp.create_dynamic}
       40    0.000    0.000    0.040    0.001 numeric.py:83(zeros_like)
       40    0.040    0.001    0.040    0.001 {built-in method numpy.core.multiarray.copyto}
        1    0.000    0.000    0.037    0.037 cnn.py:10(__init__)
        2    0.008    0.004    0.036    0.018 layers.py:154(__init__)
       80    0.002    0.000    0.034    0.000 layers.py:161(forward)
      132    0.002    0.000    0.034    0.000 <frozen importlib._bootstrap_external>:743(get_code)
      167    0.002    0.000    0.033    0.000 <frozen importlib._bootstrap>:870(_find_spec)
        2    0.000    0.000    0.033    0.016 __init__.py:45(<module>)
       40    0.032    0.001    0.032    0.001 optimizer.py:34(step)
