   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    403/1    0.022    0.000   19.266   19.266 {built-in method builtins.exec}
        1    0.012    0.012   19.266   19.266 train_small.py:1(<module>)
        1    0.028    0.028   11.466   11.466 train_small.py:10(train)
       40    0.003    0.000   11.405    0.285 cnn.py:62(oracle)
      6/4    0.000    0.000    6.012    1.503 compiler.py:682(_compile_core)
      6/4    0.000    0.000    6.011    1.503 compiler.py:231(run)
    416/6    0.004    0.000    5.491    0.915 <frozen importlib._bootstrap>:966(_find_and_load)
    416/6    0.003    0.000    5.490    0.915 <frozen importlib._bootstrap>:936(_find_and_load_unlocked)
    398/7    0.004    0.000    5.489    0.784 <frozen importlib._bootstrap>:651(_load_unlocked)
    353/7    0.002    0.000    5.488    0.784 <frozen importlib._bootstrap_external>:672(exec_module)
    609/7    0.001    0.000    5.487    0.784 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
        1    0.000    0.000    5.299    5.299 cnn.py:1(<module>)
        1    0.000    0.000    5.298    5.298 layers.py:3(<module>)
        4    0.000    0.000    5.260    1.315 compiler.py:782(compile_ir)
        4    0.000    0.000    5.249    1.312 compiler.py:364(compile_ir)
        4    0.000    0.000    5.249    1.312 compiler.py:740(_compile_ir)
        2    0.000    0.000    4.941    2.471 decorators.py:175(wrapper)
        2    0.000    0.000    4.905    2.453 dispatcher.py:554(compile)
        2    0.000    0.000    4.810    2.405 dispatcher.py:70(compile)
        2    0.000    0.000    4.810    2.405 compiler.py:769(compile_extra)
        2    0.000    0.000    4.805    2.403 compiler.py:347(compile_extra)
        2    0.000    0.000    4.799    2.400 compiler.py:733(_compile_bytecode)
        4    0.000    0.000    4.728    1.182 compiler.py:602(_backend)
      240    0.001    0.000    4.393    0.018 layers.py:44(__call__)
      4/2    0.000    0.000    4.054    2.027 compiler.py:426(stage_objectmode_frontend)
        2    0.000    0.000    4.054    2.027 compiler.py:397(frontend_looplift)
        2    0.000    0.000    3.835    1.918 compiler.py:631(stage_objectmode_backend)
        2    0.000    0.000    3.835    1.917 compiler.py:573(backend_object_mode)
        2    0.000    0.000    3.835    1.917 compiler.py:919(py_lowering_stage)
       40    0.001    0.000    3.762    0.094 layers.py:296(backward)
    80/40    3.097    0.039    3.739    0.093 layers.py:342(backward_numba)
        4    0.000    0.000    3.506    0.877 lowering.py:132(lower)
       40    0.777    0.019    2.943    0.074 layers.py:247(backward)
        1    0.990    0.990    2.270    2.270 dataset.py:34(get_cifar10_data)
       40    0.074    0.002    2.255    0.056 layers.py:220(forward)
     7081    2.086    0.000    2.086    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        4    0.000    0.000    2.029    0.507 lowering.py:168(lower_normal_function)
        4    0.001    0.000    2.008    0.502 lowering.py:182(lower_function_body)
       88    0.006    0.000    2.001    0.023 lowering.py:206(lower_block)
     6760    0.016    0.000    1.962    0.000 {method 'max' of 'numpy.ndarray' objects}
     6800    0.011    0.000    1.947    0.000 _methods.py:25(_amax)
       40    0.042    0.001    1.850    0.046 layers.py:286(forward)
    80/40    1.186    0.015    1.792    0.045 layers.py:306(forward_numba)
      532    0.004    0.000    1.664    0.003 objmode.py:63(lower_inst)
      259    0.001    0.000    1.495    0.006 objmode.py:147(lower_assign)
        9    0.000    0.000    1.447    0.161 codegen.py:177(add_ir_module)
       55    0.000    0.000    1.264    0.023 module.py:215(__repr__)
       55    0.000    0.000    1.262    0.023 module.py:189(_get_body_lines)
       55    0.001    0.000    1.261    0.023 module.py:194(<listcomp>)
      132    0.000    0.000    1.243    0.009 values.py:654(__str__)
      132    0.000    0.000    1.242    0.009 values.py:647(descr)
145375/62433    0.231    0.000    1.236    0.000 {method 'format' of 'str' objects}
       15    0.002    0.000    1.223    0.082 values.py:640(descr_body)
     1833    0.008    0.000    1.221    0.001 values.py:780(descr)
        2    0.000    0.000    1.220    0.610 dispatcher.py:294(_compile_for_args)
        2    0.000    0.000    1.219    0.610 dispatcher.py:636(compile)
     1833    0.022    0.000    1.209    0.001 values.py:782(<listcomp>)
95003/38059    0.116    0.000    1.190    0.000 _utils.py:40(__str__)
     3001    1.133    0.000    1.134    0.000 ffi.py:105(__call__)
      664    0.002    0.000    1.116    0.002 objmode.py:497(return_exception_raised)
      147    0.002    0.000    1.111    0.008 objmode.py:218(lower_expr)
    27071    0.146    0.000    1.093    0.000 values.py:210(_to_string)
      664    0.025    0.000    1.088    0.002 objmode.py:560(cleanup_vars)
        5    0.000    0.000    1.033    0.207 codegen.py:204(finalize)
        4    0.000    0.000    1.019    0.255 cpu.py:152(get_executable)
       11    0.000    0.000    1.019    0.093 codegen.py:447(get_pointer_to_function)
    19/15    0.000    0.000    1.019    0.068 codegen.py:101(_ensure_finalized)
        1    0.012    0.012    1.014    1.014 dataset.py:18(load_cifar10)
        2    0.000    0.000    0.892    0.446 compiler.py:653(stage_nopython_backend)
        2    0.000    0.000    0.892    0.446 compiler.py:589(backend_nopython_mode)
        2    0.000    0.000    0.892    0.446 compiler.py:890(native_lowering_stage)
        6    0.000    0.000    0.889    0.148 dataset.py:7(load_cifar_batch)
     8667    0.035    0.000    0.848    0.000 objmode.py:584(decref)
      344    0.003    0.000    0.804    0.002 objmode.py:515(loadvar)
